Category, Title, Places, URL, p_rating, count, itemId, Region, Budget
"Pilgrimage, Heritage",Rishikesh,"Ram Jhula, Rajaji National Park",http://uttarakhandtourism.gov.in/,3.2,3212,55,North,25
Scenic,Agumbe,Enchanting Waterfalls,https://www.karnatakatourism.org/,4.1,552,56,South,30
Scenic,Mussoorie,"Kempty Falls, Gun Hills",http://uttarakhandtourism.gov.in/,4.7,2131,57,North,45
"Heritage, Pilgrimage",Tirupati,Sri Venkateshwara Temple ,http://www.tamilnadutourism.org,4.3,1892,58,South,55
Scenic,Lonavala,Tiger's Leap,http://www.maharashtratourism.gov.in/,4.1,3578,59,Southwest,20
Historic,Poovar,Vizhinjam Harbour,http://www.keralatourism.org,4.8,337,60,South,40
"Heritage,Historic",Pushkar,Temples and Fests,http://www.tourism.rajasthan.gov.in/,4.1,568,61,West,50
Scenic,Gulmarg,Himalayan Valley,http://www.jktourism.jk.gov.in/,5,1387,62,North,73
Pilgrimage,Shirdih,Sai Temple,http://www.maharashtratourism.gov.in/,4.3,1765,63,Southwest,37
"Modern, Scenic",Chandigarh,Rose Garden,http://chandigarhtourism.gov.in/,4,2121,64,North,50
Scenic,Kausani,Nanda Devi Peak,http://uttarakhandtourism.gov.in/,4.9,223,65,North,35
Scenic,Madikeri,Raja's Seat,https://www.karnatakatourism.org/,4.6,987,66,South,40
"Scenic, Pilgrimage",Manikaran,Gurudwara Shri Manikaran Sahab,https://himachaltourism.gov.in/,4.1,1289,67,North,50
"Heritage, Historic",Gwalior,Gwalior Fort,http://www.mptourism.com,3.8,1762,68,Central,48
"Seaside, Scenic",Pondicherry,Basilica of Sacred Heart of Jesus,http://www.pondytourism.in/,4.3,1210,69,Southeast,67
